category,object_name,x,y
AircraftBuoyant,m1337_rm.obj,130.43927001953125,-5.580132484436035
AircraftBuoyant,m1340_rm.obj,5.471686363220215,44.32655334472656
AircraftBuoyant,m1341_rm.obj,6.352331638336182,44.156673431396484
AircraftBuoyant,m1338_rm.obj,130.7670440673828,-6.202094554901123
AircraftBuoyant,m1342_rm.obj,106.01480865478516,32.07817077636719
AircraftBuoyant,m1339_rm.obj,95.7626724243164,39.067039489746094
AircraftBuoyant,m1343_rm.obj,105.07646942138672,30.086153030395508
AircraftBuoyant,m1344_rm.obj,115.27395629882812,29.269487380981445
AircraftBuoyant,m1345_rm.obj,91.47352600097656,43.33768844604492
AircraftBuoyant,m1347_rm.obj,29.043188095092773,1.31193208694458
AircraftBuoyant,m1346_rm.obj,-14.2712984085083,-17.5369930267334
AircraftBuoyant,m1349_rm.obj,-15.614283561706543,-16.71293830871582
AircraftBuoyant,m1350_rm.obj,-13.361165046691895,-18.761157989501953
AircraftBuoyant,m1348_rm.obj,-14.58768081665039,-17.13294219970703
Apartment,D00086_rm.obj,91.55777740478516,26.981327056884766
AircraftBuoyant,m1351_rm.obj,-51.559974670410156,-44.78242492675781
Apartment,D00156_rm.obj,105.3615951538086,13.429594993591309
Apartment,D00138_rm.obj,98.91898345947266,-19.00619888305664
Apartment,D00310_rm.obj,41.036949157714844,15.076184272766113
Apartment,D00045_rm.obj,101.7087173461914,35.794734954833984
AircraftBuoyant,m1352_rm.obj,22.185348510742188,4.740705490112305
Apartment,D00348_rm.obj,108.88062286376953,-8.160971641540527
Apartment,D00366_rm.obj,109.80665588378906,8.444642066955566
Apartment,D00478_rm.obj,87.33519744873047,37.349769592285156
Apartment,D00651_rm.obj,105.85791015625,13.31184196472168
Apartment,D00496_rm.obj,98.1268539428711,-4.796241760253906
Apartment,D00639_rm.obj,91.88508605957031,30.71052360534668
Apartment,D00626_rm.obj,40.02519226074219,22.666650772094727
Apartment,D00780_rm.obj,78.7681884765625,-16.4018497467041
Apartment,D00681_rm.obj,82.78592681884766,30.431562423706055
Apartment,D00792_rm.obj,115.30415344238281,10.866971969604492
Apartment,D00859_rm.obj,42.057376861572266,-7.516415119171143
Apartment,D00869_rm.obj,111.5925064086914,-5.505176544189453
Apartment,D00860_rm.obj,87.34870147705078,37.448204040527344
Apartment,D00921_rm.obj,91.87067413330078,37.987545013427734
Apartment,D00953_rm.obj,53.142539978027344,58.54412841796875
Apartment,m463_rm.obj,63.43868637084961,43.635250091552734
Apartment,m464_rm.obj,-42.7685661315918,-15.560853958129883
Apartment,m465_rm.obj,-48.023738861083984,-45.37568283081055
AquaticAnimal,m53_rm.obj,-73.13414764404297,-24.266828536987305
AquaticAnimal,m54_rm.obj,-56.73186492919922,-18.087080001831055
AquaticAnimal,m55_rm.obj,-68.97586822509766,-22.67357635498047
AquaticAnimal,m56_rm.obj,-71.50675964355469,-22.87930679321289
AquaticAnimal,m57_rm.obj,-72.59964752197266,-23.322086334228516
AquaticAnimal,m59_rm.obj,-93.47430419921875,-25.04910659790039
AquaticAnimal,m58_rm.obj,19.3497314453125,53.52098846435547
AquaticAnimal,m60_rm.obj,-50.536075592041016,-14.309467315673828
AquaticAnimal,m62_rm.obj,-47.94881820678711,28.282268524169922
AquaticAnimal,m61_rm.obj,-54.554500579833984,-9.071494102478027
AquaticAnimal,m65_rm.obj,-20.126367568969727,16.47164535522461
AquaticAnimal,m63_rm.obj,59.89459228515625,54.97515106201172
AquaticAnimal,m66_rm.obj,-10.307048797607422,-3.832082986831665
AquaticAnimal,m64_rm.obj,-53.656803131103516,-11.011579513549805
AquaticAnimal,m67_rm.obj,-58.02335739135742,-18.648284912109375
AquaticAnimal,m69_rm.obj,-72.73263549804688,-11.218544006347656
AquaticAnimal,m68_rm.obj,-87.90603637695312,6.888018608093262
AquaticAnimal,m70_rm.obj,-70.63646697998047,-10.656584739685059
AquaticAnimal,m71_rm.obj,-47.55310821533203,-14.548752784729004
AquaticAnimal,m73_rm.obj,7.470402717590332,8.977554321289062
AquaticAnimal,m72_rm.obj,-71.47457122802734,-10.995233535766602
AquaticAnimal,m74_rm.obj,-71.62090301513672,-13.136238098144531
AquaticAnimal,m75_rm.obj,-72.49552917480469,-10.022026062011719
AquaticAnimal,m76_rm.obj,-54.2265625,-18.26376724243164
AquaticAnimal,m77_rm.obj,-62.958534240722656,-15.738435745239258
AquaticAnimal,m78_rm.obj,-53.704917907714844,-16.3912296295166
AquaticAnimal,m79_rm.obj,-97.5518569946289,-25.63156509399414
AquaticAnimal,m80_rm.obj,-68.7132339477539,-18.16916847229004
AquaticAnimal,m81_rm.obj,-72.26233673095703,-12.49632453918457
Bed,D00031_rm.obj,75.27233123779297,-27.255521774291992
Bed,D00110_rm.obj,92.48436737060547,-26.574771881103516
Bed,D00121_rm.obj,75.38606262207031,-23.888751983642578
Bed,D00210_rm.obj,88.16128540039062,-20.453235626220703
Bed,D00184_rm.obj,89.58158111572266,-19.77008056640625
Bed,D00213_rm.obj,57.74176788330078,-22.457866668701172
Bed,D00217_rm.obj,35.02971267700195,-23.08824348449707
Bed,D00307_rm.obj,60.34286117553711,18.564342498779297
Bed,D00322_rm.obj,35.921142578125,-23.713804244995117
Bed,D00417_rm.obj,74.82842254638672,-19.72449493408203
Bed,D00538_rm.obj,76.04566192626953,-20.484371185302734
Bed,D00545_rm.obj,72.97196197509766,-21.240537643432617
Bed,D00552_rm.obj,89.47382354736328,-21.605640411376953
Bed,D00565_rm.obj,71.96894073486328,-27.79669189453125
Bed,D00735_rm.obj,75.97490692138672,-19.374576568603516
Bed,D00650_rm.obj,58.639427185058594,-22.487838745117188
Bed,D00836_rm.obj,52.67869567871094,-19.490148544311523
Bed,D00969_rm.obj,88.91277313232422,-20.224071502685547
Bed,D00988_rm.obj,74.22721099853516,-19.46628761291504
Bed,D00839_rm.obj,90.88423919677734,-23.27018165588379
Bed,m945_rm.obj,90.34333038330078,-2.923316717147827
Bed,m946_rm.obj,60.497337341308594,-22.50114631652832
Bed,m947_rm.obj,92.74525451660156,-26.459657669067383
Bed,m948_rm.obj,111.56060028076172,-13.456650733947754
Bed,m949_rm.obj,102.92183685302734,-21.16365623474121
Bed,m951_rm.obj,68.868896484375,15.188637733459473
Bed,m950_rm.obj,81.99022674560547,15.867728233337402
Bicycle,D00040_rm.obj,-10.418445587158203,-48.13037872314453
Bicycle,D00016_rm.obj,-7.331737995147705,-46.5552864074707
Bicycle,D00033_rm.obj,-30.911775588989258,17.499238967895508
Bicycle,D00077_rm.obj,-5.4712300300598145,-42.919952392578125
Bicycle,D00462_rm.obj,-6.541882514953613,-44.507774353027344
Bicycle,D00078_rm.obj,-4.449422359466553,-44.6346321105957
Bicycle,D00555_rm.obj,-5.633409023284912,-36.74655532836914
Bicycle,D00536_rm.obj,-3.2022781372070312,-44.926605224609375
Bicycle,D00514_rm.obj,-8.978065490722656,-42.35811996459961
Bicycle,D00558_rm.obj,-5.186620235443115,-41.41282272338867
Bicycle,D00567_rm.obj,-7.1492533683776855,-40.27451705932617
Bicycle,D00621_rm.obj,-7.829596042633057,-46.885719299316406
Bicycle,D00708_rm.obj,-6.919562816619873,-41.63006591796875
Bicycle,D00750_rm.obj,-7.7993292808532715,-48.32127380371094
Bicycle,D00847_rm.obj,-4.275374889373779,-45.379032135009766
Bicycle,D00904_rm.obj,-8.268411636352539,-44.608848571777344
Bicycle,D00838_rm.obj,-7.359288215637207,-41.861454010009766
Bicycle,D00930_rm.obj,-0.32107648253440857,-64.94571685791016
Bicycle,D00931_rm.obj,-5.315096378326416,-40.09295654296875
Bicycle,D00974_rm.obj,-10.839889526367188,-47.06687927246094
Bicycle,m1472_rm.obj,-7.123867034912109,-37.749183654785156
Bicycle,m1473_rm.obj,-30.91375160217285,17.499425888061523
Bicycle,m1475_rm.obj,-11.053926467895508,-47.15391159057617
Bicycle,m1476_rm.obj,-6.8597869873046875,-40.31293487548828
Bicycle,m1477_rm.obj,-4.9036865234375,-45.32022476196289
Bicycle,m1478_rm.obj,-7.066702365875244,-47.14338684082031
Biplane,D00132_rm.obj,9.601335525512695,-56.473731994628906
Biplane,D00069_rm.obj,-15.714733123779297,5.445901393890381
Biplane,D00178_rm.obj,-34.930809020996094,50.0252799987793
Biplane,D00199_rm.obj,-4.135881423950195,22.659488677978516
Biplane,D00276_rm.obj,45.923675537109375,43.20113754272461
Biplane,D00246_rm.obj,-74.78742980957031,0.4072089195251465
Biplane,D00277_rm.obj,-33.72576904296875,50.01325225830078
Biplane,D00320_rm.obj,-64.45259857177734,35.157161712646484
Biplane,D00410_rm.obj,-44.239349365234375,20.348369598388672
Biplane,D00373_rm.obj,-27.9172420501709,52.90306091308594
Biplane,D00490_rm.obj,-57.939273834228516,36.8062629699707
Biplane,D00515_rm.obj,-26.68419647216797,51.161842346191406
Biplane,D00601_rm.obj,26.807476043701172,35.23374557495117
Biplane,D00632_rm.obj,-28.499540328979492,52.05816650390625
Biplane,D00616_rm.obj,-63.51710891723633,-34.97629165649414
Biplane,D00634_rm.obj,-35.07600021362305,33.5319709777832
Biplane,D00854_rm.obj,-31.66094207763672,51.5338249206543
Biplane,D00666_rm.obj,22.062896728515625,28.266033172607422
Biplane,D00890_rm.obj,3.8670310974121094,-44.76226806640625
Biplane,D00900_rm.obj,-35.74093246459961,49.83687973022461
Biplane,m1118_rm.obj,-14.188385963439941,5.590023040771484
Biplane,m1119_rm.obj,24.594589233398438,25.591886520385742
Biplane,m1120_rm.obj,3.880990982055664,-44.772586822509766
Biplane,m1122_rm.obj,25.18096351623535,24.354089736938477
Biplane,m1121_rm.obj,-27.140655517578125,52.30376434326172
Biplane,m1123_rm.obj,-29.689979553222656,53.18254852294922
Biplane,m1124_rm.obj,-33.491416931152344,51.485008239746094
Biplane,m1125_rm.obj,25.125104904174805,25.55286407470703
Biplane,m1126_rm.obj,-29.403179168701172,54.755916595458984
Biplane,m1127_rm.obj,-27.06976318359375,54.30476379394531
Biplane,m1128_rm.obj,22.086856842041016,28.3013973236084
Biplane,m1129_rm.obj,-4.712551116943359,23.022260665893555
Biplane,m1131_rm.obj,-30.538103103637695,52.67469024658203
Biplane,m1132_rm.obj,-32.37864685058594,50.70589065551758
Biplane,m1133_rm.obj,-28.320693969726562,51.50743865966797
Biplane,m1135_rm.obj,-18.162986755371094,5.320222854614258
Biplane,m1134_rm.obj,-53.26261520385742,13.470939636230469
Biplane,m1136_rm.obj,-36.70063400268555,51.21595001220703
Biplane,m1138_rm.obj,24.145692825317383,28.85757064819336
Biplane,m1137_rm.obj,-74.94632720947266,0.9723585844039917
Biplane,m1139_rm.obj,-0.5859586000442505,20.51007652282715
Biplane,m1144_rm.obj,-30.251352310180664,51.41229248046875
Biplane,m1143_rm.obj,-15.649744033813477,5.265116214752197
Biplane,m1141_rm.obj,-3.467926502227783,21.48746681213379
Biplane,m1146_rm.obj,-35.32964324951172,26.982166290283203
Bird,D00089_rm.obj,-58.74407196044922,33.08169937133789
Bird,D00113_rm.obj,43.13071060180664,57.118247985839844
Bird,D00164_rm.obj,-68.93089294433594,16.626737594604492
Bird,D00234_rm.obj,-37.88954162597656,36.7560920715332
Bird,D00323_rm.obj,-119.30766296386719,-7.818149566650391
Bird,D00271_rm.obj,-38.91408157348633,25.526845932006836
Bird,D00284_rm.obj,-51.01483154296875,13.590785026550293
Bird,D00386_rm.obj,-101.4083480834961,-16.3460636138916
Bird,D00438_rm.obj,-82.94729614257812,-1.1110581159591675
Bird,D00442_rm.obj,-8.240496635437012,27.60426902770996
Bird,D00599_rm.obj,-85.49727630615234,-2.1545321941375732
Bird,D00546_rm.obj,-95.20391082763672,-19.73457145690918
Bird,D00625_rm.obj,-44.79034423828125,14.342122077941895
Bird,D00689_rm.obj,-72.0290298461914,-18.208120346069336
Bird,D00736_rm.obj,-82.23709869384766,-0.34519267082214355
